,Score,Rating,Total_shot,Woodwork,Shot_onTarget,Shot_offTarget,Shot_blocked,Possession,Touches,Pass%,Total_pass,Acc_pass,Key_pass,Dribble_won,Dribble_att,Dribbled_past,Dribble%,Aerial_won,Aerial_won%,Off_aerial,Def_aerial,Succ_Tack,Tack_att,Was_dribbled,Tack%,Clearance,Intercept,Corner,Corner%,Disposs,Err,Foul,Offside,W,D,L,Result
0,1,0.2400000000000002,5,1,5,-2,2,-32.199999999999996,-293,-14,-280,-274,1,0,-6,0,17,4,10,6,-6,4,4,0,6,7,0,1,15,2,-2,5,3,1,0,0,W
1,1,0.4299999999999997,4,0,3,0,1,-2.200000000000003,-8,0,-34,-27,0,12,15,-12,0,-8,-30,2,-2,-5,-17,-12,8,-12,1,2,9,2,0,-8,1,1,0,0,W
2,0,-0.15000000000000036,-8,-2,-2,0,-6,-19.599999999999994,-166,-8,-164,-164,-8,-1,0,1,-7,-3,-12,11,-11,4,5,1,3,2,-3,-5,-30,-5,-1,6,2,0,1,0,D
3,2,0.8799999999999999,10,0,5,4,1,-2.799999999999997,-49,-4,-26,-38,9,3,1,-3,9,9,36,23,-23,15,12,-3,21,-6,4,6,63,-13,1,6,-1,1,0,0,W
4,-2,-0.4899999999999993,19,0,3,10,6,29.599999999999994,265,18,254,251,14,-4,-15,4,27,-4,-8,4,-4,22,26,4,21,-12,-6,-1,5,-11,0,-1,-1,0,0,1,L
5,0,-0.35000000000000053,7,0,3,3,1,24.799999999999997,206,14,213,228,4,-2,8,2,-32,8,36,-8,8,-15,-13,2,-32,-2,-1,0,-11,5,-1,8,-3,0,1,0,D
6,0,0.1900000000000004,5,0,3,0,2,24.599999999999994,303,8,290,289,2,9,6,-9,29,-3,-6,3,-3,1,-8,-9,22,-9,-3,-1,8,2,-1,-5,2,0,1,0,D
7,2,0.6200000000000001,-1,-1,1,0,-2,-19.0,-138,-7,-152,-141,0,-4,-2,4,-20,-1,-2,3,-3,0,4,4,-11,27,0,0,43,-2,1,-9,4,1,0,0,W
8,1,0.41999999999999993,16,0,7,5,4,1.4000000000000057,51,4,16,31,12,3,-1,-3,15,-6,-22,-2,2,3,0,-3,9,-2,-5,-2,42,1,0,-8,1,1,0,0,W
9,-1,-0.5899999999999999,4,-1,-3,3,4,39.0,334,19,321,325,5,-5,-1,5,-19,-2,-6,-8,8,-5,0,5,-17,-28,-5,4,53,1,1,3,-3,0,0,1,L
10,0,0.29000000000000004,13,-1,-1,7,7,9.599999999999994,105,4,65,71,10,7,1,-7,38,3,10,12,-12,10,3,-7,29,-13,5,5,-23,-4,1,-6,2,0,1,0,D
11,4,1.33,2,0,-1,5,-2,28.199999999999996,293,11,283,287,1,1,5,-1,-25,5,14,-11,11,-4,-5,-1,-5,-2,-4,1,50,0,0,8,1,1,0,0,W
12,1,0.35000000000000053,5,0,3,0,2,-11.599999999999994,-105,-7,-111,-117,0,4,1,-4,21,-3,-12,3,-3,5,1,-4,15,1,4,6,-12,-2,0,3,0,1,0,0,W
13,1,0.40000000000000036,4,0,2,0,2,-19.799999999999997,-213,-10,-196,-194,2,0,-3,0,8,-1,-2,25,-25,15,15,0,19,-15,1,5,33,-12,-1,5,2,1,0,0,W
14,0,0.0,3,-1,1,1,1,22.200000000000003,215,9,224,222,4,1,4,-1,-5,8,22,-6,6,-8,-9,-1,-7,-4,-5,0,50,5,0,-3,-5,0,1,0,D
15,2,0.23999999999999932,-2,0,3,-4,-1,-40.0,-372,-22,-339,-345,-4,-19,-26,19,-17,0,0,20,-20,22,41,19,-14,2,0,-4,-40,-15,0,5,-1,1,0,0,W
16,-2,-0.7700000000000005,8,0,2,4,2,-13.0,-131,-9,-117,-119,6,-2,-9,2,19,1,2,11,-11,5,7,2,2,-15,4,-1,67,2,1,4,0,0,0,1,L
17,-3,-1.0700000000000003,-18,0,-9,-6,-3,-47.599999999999994,-550,-24,-547,-561,-15,-6,-6,6,-16,1,4,-3,3,2,8,6,-13,30,8,-2,33,-2,0,-1,4,0,0,1,L
18,2,0.7599999999999998,-1,0,3,-1,-3,-7.0,-57,-5,-55,-67,-3,-7,-8,7,-12,8,24,8,-8,3,10,7,-17,0,5,-4,-10,-2,0,-1,1,1,0,0,W
19,-3,-0.9000000000000004,-13,0,-6,-3,-4,-51.0,-525,-24,-524,-527,-11,-4,-5,4,-13,9,26,13,-13,6,10,4,-3,6,7,-3,-83,-5,0,3,-2,0,0,1,L
20,0,-0.020000000000000462,6,0,-1,3,4,9.599999999999994,68,2,76,67,4,0,1,0,-3,-1,-4,-5,5,-4,-4,0,-5,-7,3,1,-23,3,1,5,-2,0,1,0,D
21,1,0.6799999999999997,-6,0,-1,-1,-4,5.200000000000003,64,2,60,57,-2,3,-3,-3,25,16,36,6,-6,11,8,-3,26,10,0,-4,25,-5,-1,-2,1,1,0,0,W
22,1,0.5099999999999998,4,-1,0,2,2,-11.799999999999997,-74,-5,-85,-76,3,11,12,-11,19,1,2,-19,19,-14,-25,-11,7,22,-3,-3,7,13,0,0,2,1,0,0,W
23,-2,-0.6100000000000003,-7,-1,0,-4,-3,-25.599999999999994,-273,-9,-261,-270,-6,4,3,-4,11,5,18,19,-19,4,0,-4,14,-11,3,3,-60,-3,0,-4,-3,0,0,1,L
24,8,2.7699999999999996,23,3,7,13,3,37.400000000000006,423,11,391,390,17,11,4,-11,43,7,46,-9,9,6,-5,-11,32,-15,-6,1,80,1,0,-4,0,1,0,0,W
25,2,0.8600000000000003,11,2,6,2,3,2.5999999999999943,5,5,6,26,6,-3,2,3,-24,3,6,7,-7,11,14,3,8,-17,4,9,-32,-16,0,0,5,1,0,0,W
26,-3,-1.1099999999999994,4,-1,-1,1,4,23.799999999999997,160,12,148,144,6,-2,-4,2,13,8,14,0,0,5,7,2,8,-6,-11,2,-6,-3,0,1,0,0,0,1,L
27,-2,-0.9100000000000001,7,0,2,3,2,46.599999999999994,432,20,422,412,5,-1,-3,1,5,-6,-14,-2,2,4,5,1,2,-28,-8,7,13,-2,0,4,1,0,0,1,L
28,1,0.40000000000000036,10,-1,9,-2,3,36.0,311,17,333,328,8,-1,4,1,-19,7,18,1,-1,4,5,1,1,-27,2,5,30,-9,-2,-2,-4,1,0,0,W
29,1,0.1200000000000001,5,0,3,2,0,38.599999999999994,350,16,377,359,1,0,3,0,-8,4,10,-14,14,-1,-1,0,-2,-23,-11,0,-25,-2,0,-2,-2,1,0,0,W
30,1,0.28000000000000025,2,1,0,-1,3,5.0,10,-2,40,24,2,-2,-2,2,-3,-12,-30,12,-12,9,11,2,8,-14,-11,9,3,-9,0,6,0,1,0,0,W
31,0,0.11000000000000032,4,0,-2,2,4,30.199999999999996,293,14,280,268,3,3,4,-3,7,17,26,-1,1,-3,-6,-3,4,2,-5,1,67,2,0,-2,0,0,1,0,D
32,1,0.27000000000000046,5,0,3,0,2,25.599999999999994,265,14,233,227,2,13,12,-13,27,-9,-28,7,-7,-1,-14,-13,24,-13,-1,-1,-14,2,2,-4,-2,1,0,0,W
33,0,-0.09999999999999964,0,0,-3,2,1,-13.799999999999997,-124,-7,-128,-134,-2,2,4,-2,-4,5,10,3,-3,-5,-7,-2,-4,11,-2,-3,16,3,1,-8,0,0,1,0,D
34,-1,-0.17000000000000082,12,-1,-2,5,9,43.800000000000004,414,14,392,389,8,7,5,-7,24,1,4,15,-15,-4,-11,-7,11,-30,3,13,-4,6,0,0,0,0,0,1,L
35,1,0.6699999999999999,-2,0,1,0,-3,-18.400000000000006,-122,-11,-144,-147,-2,0,-2,0,8,-4,-6,12,-12,6,6,0,11,7,11,-2,1,-4,-1,-7,4,1,0,0,W
36,-3,-1.13,-8,0,-5,2,-5,-27.599999999999994,-243,-17,-250,-249,-8,-4,-8,4,4,-3,-6,15,-15,3,7,4,-7,2,2,2,-17,1,1,-6,4,0,0,1,L
37,1,0.3899999999999997,-18,-1,-5,-3,-10,-37.199999999999996,-352,-15,-353,-358,-10,-12,-12,12,-22,-8,-26,-12,12,1,13,12,-21,43,9,-13,23,-1,-2,1,1,1,0,0,W
38,-3,-0.9699999999999998,-3,0,-4,2,-1,-13.400000000000006,-131,-6,-128,-120,-5,8,7,-8,30,-5,-12,7,-7,4,-4,-8,25,-7,-5,-1,-100,-3,0,-7,1,0,0,1,L
39,1,0.3800000000000008,1,1,2,1,-2,-16.599999999999994,-120,-4,-126,-115,1,1,6,-1,-7,-5,-18,9,-9,-11,-12,-1,-9,19,2,-6,34,6,1,0,-2,1,0,0,W
40,0,-0.2999999999999998,5,1,0,1,4,38.800000000000004,406,20,373,386,5,-2,3,2,-25,-2,-6,10,-10,-9,-7,2,-19,-46,-3,9,-23,4,0,-4,4,0,1,0,D
41,-1,-0.28000000000000025,2,0,0,3,-1,3.4000000000000057,8,1,30,31,2,-7,-10,7,3,7,14,-15,15,9,16,7,-4,-4,0,0,-100,-6,0,4,-2,0,0,1,L
42,1,0.35000000000000053,-5,0,-2,-3,0,-17.200000000000003,-138,-7,-149,-157,-1,5,11,-5,1,1,2,5,-5,-1,-6,-5,10,16,0,0,0,-5,2,-11,0,1,0,0,W
43,-2,-0.6000000000000005,-11,0,-8,-2,-1,-7.799999999999997,-74,-6,-63,-76,-6,-6,-7,6,-6,-2,-20,-2,2,2,8,6,-7,3,2,-9,-30,-1,1,3,1,0,0,1,L
44,1,0.4299999999999997,-7,0,2,-10,1,-9.0,-50,-5,-63,-62,-1,12,21,-12,1,3,4,17,-17,-8,-20,-12,11,11,8,-9,34,-1,1,-6,-1,1,0,0,W
45,2,0.8099999999999996,7,0,4,4,-1,-1.2000000000000028,4,0,-17,-14,7,-1,7,1,-24,12,28,-12,12,-11,-10,1,-18,0,4,1,10,3,-1,-1,0,1,0,0,W
46,0,-0.019999999999999574,-3,1,0,-1,-2,-31.199999999999996,-323,-12,-318,-316,0,2,6,-2,-4,-10,-34,2,-2,-6,-8,-2,-1,-1,9,-2,-17,2,0,9,0,0,1,0,D
47,1,0.4200000000000008,12,0,3,7,2,5.599999999999994,24,1,28,28,9,-6,2,6,-56,0,0,-2,2,-1,5,6,-17,-9,-8,11,62,-7,-1,-1,2,1,0,0,W
48,-1,-0.25,17,1,0,12,5,42.599999999999994,338,25,331,340,13,-2,4,2,-31,8,22,-10,10,-16,-14,2,-28,-20,-10,7,-37,10,0,-10,0,0,0,1,L
49,1,0.0600000000000005,7,1,-3,7,3,16.200000000000003,142,4,139,131,5,-2,-2,2,-3,4,28,-2,2,-8,-6,2,-17,-1,-4,5,53,8,-1,-2,2,1,0,0,W
50,2,0.7400000000000002,8,0,5,3,0,26.0,233,12,245,241,4,6,5,-6,18,0,0,-20,20,-6,-12,-6,4,-3,-1,5,-86,7,0,-3,2,1,0,0,W
51,3,1.2999999999999998,7,0,8,-1,0,-20.0,-138,-6,-160,-140,4,10,18,-10,-1,9,14,-3,3,-7,-17,-10,14,0,-4,7,39,-1,-2,7,6,1,0,0,W
52,1,0.3099999999999996,4,0,2,2,0,-6.799999999999997,-74,-3,-56,-58,2,-9,-6,9,-19,-5,-18,5,-5,2,11,9,-10,-4,2,1,25,-5,-1,0,0,1,0,0,W
53,0,0.05000000000000071,6,0,0,3,3,20.400000000000006,172,15,135,147,6,4,5,-4,14,-2,-5,-10,10,1,-3,-4,16,-3,0,4,-29,-2,0,-6,2,0,1,0,D
54,-1,-0.5600000000000005,9,0,-1,6,4,60.400000000000006,551,15,573,548,6,9,8,-9,38,-6,-24,-2,2,-5,-14,-9,21,-49,-4,0,-34,6,0,5,-3,0,0,1,L
55,0,0.1899999999999995,-1,0,1,4,-6,-20.200000000000003,-170,-5,-177,-166,3,3,5,-3,-3,-4,-16,-4,4,-4,-7,-3,0,21,1,-5,-28,2,0,-2,1,0,1,0,D
56,2,0.6299999999999999,16,0,2,2,12,4.0,9,-1,37,27,14,-5,-6,5,-7,-4,-22,12,-12,9,14,5,0,-16,2,2,58,-8,0,3,-3,1,0,0,W
57,-1,-0.5699999999999994,6,-1,-3,5,4,-3.5999999999999943,-44,-4,-53,-55,7,-4,-4,4,-4,-4,-12,4,-4,3,7,4,-2,-4,1,6,16,-3,0,3,2,0,0,1,L
58,2,0.6899999999999995,5,0,0,4,1,-10.799999999999997,-106,-4,-109,-105,3,0,-6,0,21,4,16,14,-14,1,1,0,1,-9,-5,0,40,5,0,4,1,1,0,0,W
59,1,0.3600000000000003,-2,0,-2,1,-1,11.0,107,0,108,88,-2,4,-2,-4,32,-3,-16,-9,9,1,-3,-4,12,-6,0,-5,-60,5,0,0,1,1,0,0,W
60,3,1.0999999999999996,-1,0,1,-4,2,17.0,162,9,162,161,4,5,6,-5,9,-3,-6,-7,7,-4,-9,-5,6,10,-7,-1,-50,3,-1,-4,0,1,0,0,W
61,0,-0.08000000000000007,5,1,2,6,-3,12.400000000000006,86,5,99,95,3,0,-1,0,4,-8,-20,-6,6,7,7,0,8,-8,-3,7,22,-6,0,9,0,0,1,0,D
62,5,1.6600000000000001,10,0,5,2,3,37.800000000000004,397,12,396,393,9,-3,0,3,-18,-4,-18,-4,4,7,10,3,-1,-16,3,9,33,-10,0,3,-1,1,0,0,W
63,3,1.4500000000000002,7,0,6,0,1,-8.799999999999997,-63,-5,-76,-76,8,11,6,-11,71,4,6,-4,4,12,1,-11,61,6,3,1,29,-7,0,-4,1,1,0,0,W
64,0,0.08000000000000007,-5,0,1,-1,-5,-42.599999999999994,-455,-18,-438,-438,-4,5,5,-5,15,1,2,19,-19,4,-1,-5,19,8,0,2,47,-4,0,4,-3,0,1,0,D
65,-1,-0.6500000000000004,-17,1,-3,-4,-10,-6.799999999999997,-83,-3,-62,-66,-15,-16,-4,16,-63,-5,-18,-1,1,-10,6,16,-41,20,0,-7,62,-2,0,0,0,0,0,1,L
66,1,0.1299999999999999,16,0,6,5,5,29.0,273,7,300,284,12,6,10,-6,1,-4,-12,-4,4,-9,-15,-6,-1,-15,-14,4,11,5,-1,8,-1,1,0,0,W
67,1,0.03000000000000025,23,0,1,9,13,50.599999999999994,423,26,414,423,13,9,14,-9,-4,-6,-14,-2,2,-11,-20,-9,-7,-71,-8,17,82,6,0,1,3,1,0,0,W
68,2,0.4900000000000002,-6,0,2,-2,-6,-10.0,-108,-6,-91,-101,-3,-6,-1,6,-24,-1,-4,1,-1,-2,4,6,-13,3,0,-9,-19,-3,0,5,-2,1,0,0,W
69,2,0.75,20,0,4,9,7,21.200000000000003,215,10,195,208,12,1,1,-1,1,3,8,1,-1,0,-1,-1,2,-12,-1,7,29,0,-1,-8,0,1,0,0,W
70,-4,-1.1799999999999997,-1,-1,-7,1,5,15.200000000000003,127,3,127,115,-3,13,10,-13,42,-4,-16,0,0,4,-9,-13,35,-14,-4,4,-50,-1,2,-3,-1,0,0,1,L
71,2,0.5700000000000003,7,0,4,3,0,10.0,105,3,109,101,6,-7,-5,7,-21,-6,-16,8,-8,8,15,7,-5,7,-8,-1,15,-10,0,-2,1,1,0,0,W
72,-1,-0.45999999999999996,5,0,1,0,4,16.200000000000003,154,8,157,152,6,-4,-4,4,-7,-10,-18,-6,6,3,7,4,-3,-8,-7,8,44,-3,2,-6,-1,0,0,1,L
73,0,-0.07000000000000028,1,0,1,0,0,-4.599999999999994,-45,-1,-62,-52,-4,-2,-4,2,1,-7,-16,5,-5,2,4,2,-2,-10,1,-1,4,0,0,-3,0,0,1,0,D
74,0,0.22000000000000064,-9,1,-1,-8,0,22.0,188,9,171,169,-7,7,9,-7,5,6,25,-4,4,7,0,-7,19,-4,-1,-2,25,-9,1,-6,1,0,1,0,D
75,1,0.6800000000000006,0,1,-1,0,1,-36.199999999999996,-309,-13,-313,-308,0,8,7,-8,35,5,12,11,-11,1,-7,-8,30,10,6,-2,-25,0,0,2,-1,1,0,0,W
76,-2,-0.6299999999999999,0,1,-1,1,0,1.4000000000000057,16,0,-1,-1,2,0,4,0,-14,9,24,-3,3,-3,-3,0,-4,-12,11,3,3,-1,0,-1,1,0,0,1,L
77,2,0.6800000000000006,16,-1,9,0,7,5.200000000000003,58,4,66,73,11,-1,2,1,-14,0,0,0,0,-3,-2,1,-6,-10,-1,3,-40,0,-2,-8,-1,1,0,0,W
78,-2,-0.6900000000000004,-8,0,2,-2,-8,-47.599999999999994,-486,-17,-479,-468,-11,-1,4,1,-32,-1,-4,19,-19,-8,-7,1,-20,6,8,-1,-100,3,-2,-6,-2,0,0,1,L
79,-1,-0.27999999999999936,-8,0,-4,-1,-3,-1.5999999999999943,10,2,-24,-12,-6,8,6,-8,24,-12,-36,-6,6,8,0,-8,31,-11,2,0,-34,-6,1,-1,7,0,0,1,L
80,0,-0.04999999999999982,-4,0,-1,0,-3,-1.7999999999999972,19,0,-22,-20,-2,5,7,-5,8,-1,-2,-1,1,-15,-20,-5,-11,5,0,0,33,13,0,-1,0,0,1,0,D
81,-2,-0.8900000000000006,5,0,2,4,-1,14.599999999999994,82,5,94,87,4,-6,-10,6,-12,-1,-2,-1,1,2,8,6,-15,-21,-4,0,0,2,1,1,0,0,0,1,L
82,-3,-1.1000000000000005,-8,0,-6,1,-3,-18.599999999999994,-160,-9,-163,-167,-6,3,7,-3,-9,-8,-22,14,-14,-4,-7,-3,0,-7,-3,3,23,0,0,6,-1,0,0,1,L
83,0,0.15000000000000036,10,0,3,2,5,0.4000000000000057,-11,-1,-7,-8,9,0,6,0,-26,6,12,12,-12,0,0,0,0,-11,4,4,50,-6,0,-1,0,0,1,0,D
84,1,0.1900000000000004,3,0,2,1,0,-10.400000000000006,-136,-4,-110,-109,-2,-3,-1,3,-15,-3,-14,3,-3,0,3,3,-8,-4,-3,-1,10,-2,0,-7,-5,1,0,0,W
85,-1,-0.40000000000000036,-4,0,-2,-2,0,-5.799999999999997,-44,-3,-64,-63,-2,1,1,-1,2,-5,-10,3,-3,-1,-2,-1,1,-2,-4,-4,10,1,0,-2,-2,0,0,1,L
86,-1,-0.3600000000000003,-3,0,0,-1,-2,-1.7999999999999972,-52,-4,-31,-42,-4,2,-1,-2,19,4,8,18,-18,3,1,-2,10,-23,4,3,-7,0,1,5,-4,0,0,1,L
87,5,1.7600000000000007,6,0,6,-2,2,-2.0,-9,1,-3,2,7,5,-1,-5,24,-2,-4,-14,14,4,-1,-5,15,13,8,0,100,2,0,4,-1,1,0,0,W
88,-1,-0.3099999999999996,-1,0,-3,1,1,-27.599999999999994,-237,-13,-234,-222,-4,0,-7,0,35,-4,-12,3,-3,8,8,0,19,-3,0,-4,-13,-1,-1,4,3,0,0,1,L
89,1,0.41000000000000014,-3,0,4,-6,-1,35.0,294,19,295,292,3,10,10,-10,30,1,2,-19,19,-4,-14,-10,22,3,3,3,47,4,0,2,4,1,0,0,W
90,-2,-0.8099999999999996,-2,-1,-2,-2,2,-11.599999999999994,-88,-4,-97,-91,-7,7,5,-7,25,1,2,13,-13,-3,-10,-7,13,-12,1,-1,-67,5,0,-1,1,0,0,1,L
91,1,0.27000000000000046,1,0,-1,1,1,-38.400000000000006,-303,-13,-317,-309,0,-2,-3,2,-1,-8,-18,12,-12,-10,-8,2,-15,12,4,-3,6,11,0,-9,1,1,0,0,W
92,-1,-0.6499999999999995,-9,0,-6,-3,0,-6.799999999999997,-78,-7,-66,-88,-7,2,3,-2,0,-10,-30,8,-8,-2,-4,-2,1,-9,6,-4,-58,1,0,-2,-4,0,0,1,L
93,-1,-0.27000000000000046,-21,0,-4,-9,-8,-47.400000000000006,-413,-26,-408,-401,-17,1,0,-1,7,-3,-8,-1,1,3,2,-1,6,26,5,-8,30,-2,0,3,1,0,0,1,L
94,-1,-0.3600000000000003,4,0,2,3,-1,-20.0,-159,-7,-180,-170,2,6,4,-6,30,-3,-6,-1,1,-10,-16,-6,9,2,2,1,-52,12,0,1,3,0,0,1,L
95,2,0.7799999999999994,-5,-1,2,-5,-2,-29.599999999999994,-223,-8,-238,-216,-3,-2,2,2,-22,-12,-28,-4,4,-4,-2,2,-11,18,8,-6,-50,0,-1,-8,7,1,0,0,W
96,2,0.9800000000000004,11,1,6,5,0,0.4000000000000057,17,4,8,25,9,-1,-3,1,3,5,38,-1,1,1,2,1,-1,4,4,1,40,1,-1,0,-1,1,0,0,W
97,0,0.27999999999999936,-18,0,-6,-5,-7,-52.800000000000004,-506,-23,-522,-518,-12,5,4,-5,12,1,4,1,-1,6,1,-5,20,30,8,-9,-50,-5,0,-2,0,0,1,0,D
98,0,0.2400000000000002,4,0,-1,0,5,19.0,139,6,160,152,1,11,11,-11,23,-2,-4,-12,12,-2,-13,-11,20,-25,-5,5,57,2,0,-6,-2,0,1,0,D
99,0,0.08999999999999986,2,0,2,0,0,0.4000000000000057,2,2,-1,7,4,-3,-4,3,-4,10,28,2,-2,-4,-1,3,-8,3,-5,-1,-35,5,-1,-5,0,0,1,0,D
100,2,0.9100000000000001,6,1,3,3,0,24.0,182,9,194,193,9,-5,-5,5,-12,-4,-10,-6,6,0,5,5,-11,-8,-3,5,19,0,0,1,-1,1,0,0,W
101,-2,-0.9699999999999998,-12,-1,-9,-4,1,5.200000000000003,55,1,40,40,-5,-2,3,2,-25,-2,-10,0,0,-6,-4,2,-16,-11,-5,-1,-10,1,-1,8,1,0,0,1,L
102,-1,-0.4400000000000004,-4,0,-7,3,0,-34.400000000000006,-436,-12,-420,-418,-1,-4,-2,4,-14,-1,-4,15,-15,0,4,4,-9,3,-5,-5,-50,-2,0,3,0,0,0,1,L
103,2,0.6699999999999999,2,-1,4,-4,2,-17.200000000000003,-163,-7,-171,-165,4,-3,-2,3,-13,0,0,10,-10,-5,-2,3,-15,-4,5,4,57,4,1,1,2,1,0,0,W
104,0,0.1299999999999999,0,0,0,2,-2,-0.20000000000000284,31,1,14,15,-3,15,14,-15,30,3,8,1,-1,-7,-22,-15,19,1,-1,-1,36,8,1,-3,1,0,1,0,D
105,-1,-0.1999999999999993,9,0,3,5,1,25.200000000000003,221,11,195,194,7,6,5,-6,30,6,12,2,-2,-8,-14,-6,7,-10,-2,5,-30,9,0,-3,3,0,0,1,L
106,0,0.07000000000000028,7,0,4,1,2,25.0,193,13,207,194,5,1,1,-1,4,2,4,-4,4,4,3,-1,7,-4,1,-3,16,-4,0,6,0,0,1,0,D
107,-3,-1.2299999999999995,-4,0,-2,-3,1,-9.400000000000006,-132,-7,-106,-122,-5,-2,-1,2,-7,-5,-12,19,-19,-3,-1,2,-8,-16,-3,2,17,2,0,-3,0,0,0,1,L
108,0,-0.1299999999999999,-11,0,-6,-4,-1,-17.200000000000003,-174,-6,-162,-151,-11,-4,-3,4,-15,-9,-20,7,-7,6,10,4,-5,9,12,-1,50,-7,0,10,-1,0,1,0,D
109,0,0.21999999999999975,24,0,6,13,5,4.799999999999997,52,6,33,56,17,3,3,-3,5,4,34,8,-8,4,1,-3,12,-1,-1,6,-71,-4,-2,10,1,0,1,0,D
110,1,0.5800000000000001,-2,-1,2,-2,-2,-14.799999999999997,-120,-6,-122,-121,-6,-5,-3,5,-25,8,36,4,-4,-5,0,5,-21,22,7,-6,45,3,0,2,-3,1,0,0,W
111,-2,-0.8600000000000003,5,0,3,1,1,31.599999999999994,310,14,282,291,1,3,9,-3,-9,-2,-12,0,0,-7,-10,-3,-4,-27,-8,6,15,1,1,-6,1,0,0,1,L
112,3,1.0599999999999996,9,1,3,1,5,-4.599999999999994,-38,-1,-53,-47,6,-2,1,2,-13,3,14,-3,3,-1,1,2,-5,4,3,0,25,-2,-1,4,0,1,0,0,W
113,2,0.71,13,0,8,5,0,50.599999999999994,553,17,565,559,13,1,1,-1,3,12,32,-6,6,-7,-8,-1,-8,-25,-3,9,80,7,-1,1,-6,1,0,0,W
114,1,0.6800000000000006,11,0,8,0,3,42.199999999999996,410,20,376,380,8,7,-2,-7,43,5,12,-5,5,11,4,-7,31,-15,2,11,45,-2,0,-3,0,1,0,0,W
115,-1,-0.34999999999999964,14,0,2,7,5,31.400000000000006,376,18,317,341,6,16,28,-16,-19,-4,-8,-6,6,-19,-35,-16,-10,-21,4,6,-23,7,-1,-16,3,0,0,1,L
116,2,0.7300000000000004,3,0,4,-4,3,26.599999999999994,267,7,267,258,5,4,2,-4,19,5,22,-11,11,0,-4,-4,11,10,-6,2,3,2,0,-2,1,1,0,0,W
117,-1,-0.29000000000000004,7,0,-1,6,2,10.0,104,7,77,91,5,-1,-1,1,-2,2,6,4,-4,4,5,1,4,-27,3,2,-42,-4,0,-5,6,0,0,1,L
118,4,1.4799999999999995,9,0,4,7,-2,7.0,76,2,75,81,11,-2,0,2,-17,0,0,-2,2,-3,-1,2,-10,5,2,7,75,1,0,4,-2,1,0,0,W
119,-9,-2.9300000000000006,-19,0,-12,-3,-4,-45.199999999999996,-441,-22,-437,-438,-12,-5,-12,5,10,0,0,6,-6,-6,-1,5,-13,10,12,-5,-21,13,2,-9,1,0,0,1,L
120,3,1.21,15,1,5,6,4,26.200000000000003,257,8,256,251,16,5,2,-5,20,8,30,-6,6,3,-2,-5,17,-9,-4,6,57,0,-2,5,-1,1,0,0,W
121,1,0.4500000000000002,-1,0,-1,1,-1,-37.199999999999996,-344,-16,-346,-343,0,-17,-23,17,-19,13,30,11,-11,4,21,17,-34,13,8,-5,-1,2,0,-2,0,1,0,0,W
122,-2,-0.5600000000000005,7,0,-7,6,8,9.799999999999997,74,5,79,84,8,-2,-2,2,-5,-1,-4,-1,1,0,2,2,-5,-12,0,1,-19,-1,0,1,-1,0,0,1,L
123,1,0.40000000000000036,6,0,-1,6,1,29.0,266,12,253,248,7,2,2,-2,8,-1,-2,-7,7,7,5,-2,13,-2,-2,5,19,-7,0,-6,-1,1,0,0,W
124,2,0.8399999999999999,-8,0,-3,-2,-3,-21.799999999999997,-225,-7,-224,-219,-5,0,-2,0,7,-10,-30,-4,4,6,6,0,7,20,12,-5,67,-4,0,-1,1,1,0,0,W
125,-2,-1.0100000000000007,-14,-2,-8,-5,-1,-42.599999999999994,-399,-12,-406,-388,-15,-5,-9,5,12,-8,-24,20,-20,2,7,5,-5,13,16,-7,75,2,1,-2,1,0,0,1,L
126,0,-0.040000000000000036,1,0,3,-3,1,-18.799999999999997,-208,-9,-204,-199,-1,-1,-6,1,17,-1,-2,13,-13,3,4,1,3,0,7,3,17,2,0,3,2,0,1,0,D
127,0,-0.0699999999999994,2,1,0,4,-2,21.599999999999994,173,7,188,175,2,-3,-4,3,-1,-3,-6,13,-13,1,4,3,-4,-19,-5,6,-55,0,0,-3,0,0,1,0,D
128,1,0.09999999999999964,4,1,2,1,1,-6.599999999999994,-93,-4,-86,-97,1,-6,-6,6,-10,5,26,-7,7,0,6,6,-12,-11,-7,6,75,0,-1,-4,-1,1,0,0,W
129,1,0.3700000000000001,4,1,1,2,1,0.20000000000000284,6,0,10,10,5,4,8,-4,-5,6,18,-8,8,-6,-10,-4,-4,13,2,3,17,2,0,9,-1,1,0,0,W
130,0,-0.09999999999999964,-3,0,-2,0,-1,-36.0,-332,-17,-353,-348,-2,3,7,-3,-6,-16,-44,-2,2,-8,-11,-3,-2,12,1,2,0,4,0,-8,3,0,1,0,D
131,-2,-0.8599999999999994,14,0,2,5,7,39.599999999999994,299,20,293,289,9,10,13,-10,18,-5,-12,19,-19,-5,-15,-10,17,-52,-10,9,17,2,0,0,0,0,0,1,L
132,0,0.03000000000000025,0,0,2,-2,0,-2.4000000000000057,-31,0,-30,-25,2,6,8,-6,4,-6,-14,4,-4,-3,-9,-6,9,-10,0,1,-10,1,0,-6,6,0,1,0,D
133,0,0.010000000000000675,8,0,1,5,2,14.599999999999994,130,6,120,119,6,-13,-7,13,-45,17,38,-5,5,-2,11,13,-28,2,-3,2,21,-4,0,1,-2,0,1,0,D
134,0,0.04999999999999982,-3,0,4,-1,-6,-6.799999999999997,-74,-2,-62,-62,-3,2,4,-2,-2,-1,-4,-9,9,-2,-4,-2,2,-1,4,-2,50,0,0,1,0,0,1,0,D
