,Score,Rating,Total_shot,Woodwork,Shot_onTarget,Shot_offTarget,Shot_blocked,Possession,Touches,Pass%,Total_pass,Acc_pass,Key_pass,Dribble_won,Dribble_att,Dribbled_past,Dribble%,Aerial_won,Aerial_won%,Off_aerial,Def_aerial,Succ_Tack,Tack_att,Was_dribbled,Tack%,Clearance,Intercept,Corner,Corner%,Disposs,Err,Foul,Offside,W,D,L,Result
1513,1,0.4299999999999997,12,1,3,5,4,31.400000000000006,311,14,282,287,12,0,4,0,-17,1,4,1,-1,3,3,0,4,-9,-5,3,80,-7,0,-10,2,1,0,0,W
1514,1,0.45999999999999996,10,0,3,5,2,-6.799999999999997,-41,1,-52,-33,11,-7,-10,7,-11,0,0,-11,11,2,9,7,-15,-1,9,3,34,1,0,4,2,1,0,0,W
1515,3,1.2000000000000002,12,0,7,5,0,27.400000000000006,297,14,288,298,7,11,19,-11,-12,5,20,-9,9,-6,-17,-11,7,-4,-2,3,33,-2,0,-3,0,1,0,0,W
1516,1,0.6400000000000006,12,0,8,4,0,55.800000000000004,611,20,601,590,8,9,9,-9,15,-5,-24,1,-1,-3,-12,-9,13,-18,-3,6,-43,3,0,-5,2,1,0,0,W
1517,-1,-0.3699999999999992,-10,0,0,-6,-4,18.799999999999997,171,7,181,173,-8,-1,-6,1,19,0,0,-8,8,10,11,1,6,0,-3,3,20,-5,-1,-6,2,0,0,1,L
1518,2,0.71,-12,0,-3,-7,-2,-3.799999999999997,-22,-1,-29,-29,-11,12,15,-12,26,0,0,2,-2,-9,-21,-12,19,1,5,-3,25,6,-1,5,1,1,0,0,W
1519,0,-0.28000000000000025,-10,0,-1,-7,-2,-4.599999999999994,-68,-1,-52,-47,-7,-17,-17,17,-34,-2,-12,4,-4,4,21,17,-28,-1,-3,1,0,-4,1,-6,0,0,1,0,D
1520,6,1.96,25,1,11,9,5,48.400000000000006,412,28,393,410,19,0,3,0,-24,5,20,1,-1,-6,-6,0,-11,-30,-7,12,58,3,0,1,0,1,0,0,W
1521,1,0.3700000000000001,-4,0,-1,4,-7,-31.199999999999996,-352,-10,-342,-347,3,-8,-16,8,6,1,4,5,-5,8,16,8,-7,4,6,-2,-6,0,0,5,-1,1,0,0,W
1522,1,0.22000000000000064,-4,0,-2,0,-2,-0.5999999999999943,-21,0,-3,-1,-4,2,0,-2,19,-4,-16,2,-2,0,-2,-2,8,1,3,-2,-33,2,0,9,-4,1,0,0,W
1523,1,0.2599999999999998,0,0,0,1,-1,-4.0,-57,-2,-42,-46,0,-3,-6,3,2,3,28,-1,1,-3,0,3,-13,8,-4,-4,73,6,0,6,-3,1,0,0,W
1524,4,1.4800000000000004,12,0,10,0,2,14.400000000000006,179,5,149,150,10,20,21,-20,29,6,38,6,-6,-5,-25,-20,33,-3,-1,-1,-17,4,0,1,-2,1,0,0,W
1525,0,0.04999999999999982,8,0,3,3,2,-2.0,-18,-3,-32,-35,7,2,2,-2,10,1,2,13,-13,-1,-3,-2,7,-14,0,5,60,1,0,0,4,0,1,0,D
1526,-1,-0.5300000000000002,-10,0,-4,-4,-2,0.5999999999999943,15,-2,10,0,-8,-1,2,1,-10,-17,-30,21,-21,-1,0,1,-4,8,0,-1,-26,-2,1,-1,1,0,0,1,L
1527,-3,-0.9100000000000001,6,0,-1,4,3,1.5999999999999943,25,3,-10,4,1,6,10,-6,-4,3,14,11,-11,-15,-21,-6,-18,-12,1,2,27,11,1,-2,3,0,0,1,L
1528,-2,-0.96,3,2,-3,7,-1,26.799999999999997,236,13,249,257,0,-6,-7,6,-5,-12,-40,4,-4,2,8,6,-6,-21,0,0,-50,-1,0,5,-2,0,0,1,L
1529,-1,-0.16000000000000014,3,0,-2,2,3,24.200000000000003,273,6,249,238,1,10,12,-10,35,5,14,7,-7,0,-10,-10,32,-8,-3,3,-33,-2,0,-7,2,0,0,1,L
1530,5,1.5199999999999996,5,0,4,2,-1,9.200000000000003,62,2,83,75,3,3,4,-3,2,5,18,3,-3,-6,-9,-3,-7,-14,-6,0,50,5,-1,3,1,1,0,0,W
1531,1,0.41000000000000014,-1,0,0,-6,5,2.4000000000000057,30,1,16,17,-1,4,6,-4,6,-4,-8,-12,12,0,-4,-4,11,-1,6,0,-16,-2,-2,5,0,1,0,0,W
1532,0,0.20999999999999996,7,1,2,2,3,-2.4000000000000057,0,0,-17,-15,5,6,-4,-6,40,4,16,-6,6,10,4,-6,25,11,0,3,18,0,0,5,1,0,1,0,D
1533,1,0.33000000000000007,14,0,6,4,4,31.800000000000004,329,15,304,319,12,6,10,-6,12,-2,-6,-6,6,-8,-14,-6,10,-7,-5,5,0,4,0,2,-2,1,0,0,W
1534,0,-0.16999999999999993,-1,-1,4,-3,-2,-21.0,-177,-8,-188,-176,-1,-4,-2,4,-32,-4,-8,-4,4,4,8,4,-10,11,7,-2,-67,-6,1,3,-1,0,1,0,D
